date,value
2005-01-01,1.65460186142709
2005-02-01,0.925925925925915
2005-03-01,1.13519091847264
2005-04-01,1.73824130879346
2005-05-01,0.204290091930533
2005-06-01,1.12359550561797
2005-07-01,0.911854103343454
2005-08-01,1.86335403726709
2005-09-01,1.7329255861366
2005-10-01,1.41987829614605
2005-11-01,4.20512820512819
2005-12-01,3.0769230769231
2006-01-01,3.05188199389622
2006-02-01,3.2619775739041694
2006-03-01,4.08163265306122
2006-04-01,2.8140703517588
2006-05-01,5.91233435270135
2006-06-01,4.84848484848484
2006-07-01,3.9156626506024095
2006-08-01,5.48780487804876
2006-09-01,4.10821643286575
2006-10-01,3.70000000000002
2006-11-01,2.95275590551183
2006-12-01,5.67164179104476
2007-01-01,4.34353405725569
2007-02-01,4.93583415597236
2007-03-01,4.80392156862747
2007-04-01,3.12805474095796
2007-05-01,3.36862367661211
2007-06-01,3.56454720616571
2007-07-01,3.96135265700484
2007-08-01,4.431599229287111
2007-09-01,3.84985563041385
2007-10-01,4.91803278688522
2007-11-01,3.34608030592732
2007-12-01,2.25988700564973
2008-01-01,3.59508041627248
2008-02-01,2.91627469426154
2008-03-01,1.77736202057996
2008-04-01,4.36018957345971
2008-05-01,-0.465549348230898
2008-06-01,-0.372093023255819
2008-07-01,-1.39405204460968
2008-08-01,-2.4907749077490906
2008-09-01,-2.78035217794253
2008-10-01,-5.9742647058823515
2008-11-01,-8.788159111933393
2008-12-01,-12.6151012891344
2009-01-01,-16.8036529680365
2009-02-01,-18.5557586837294
2009-03-01,-19.3014705882353
2009-04-01,-21.2534059945504
2009-05-01,-16.9317118802619
2009-06-01,-16.6199813258637
2009-07-01,-15.6456173421301
2009-08-01,-15.2317880794702
2009-09-01,-12.5834127740705
2009-10-01,-10.752688172043
2009-11-01,-7.099391480730231
2009-12-01,-3.477344573235
2010-01-01,2.30515916575193
2010-02-01,3.9281705948372494
2010-03-01,7.403189066059219
2010-04-01,9.342560553633207
2010-05-01,8.671171171171181
2010-06-01,8.17469204927211
2010-07-01,7.486033519553079
2010-08-01,8.37053571428573
2010-09-01,5.99781897491822
2010-10-01,7.33844468784228
2010-11-01,7.969432314410499
2010-12-01,8.84279475982534
2011-01-01,6.33047210300429
2011-02-01,8.09935205183586
2011-03-01,6.25662778366914
2011-04-01,5.274261603375529
2011-05-01,4.04145077720207
2011-06-01,2.48447204968944
2011-07-01,3.95010395010394
2011-08-01,3.0895983522142094
2011-09-01,1.95473251028806
2011-10-01,0.816326530612244
2011-11-01,0.20222446916076
2011-12-01,-1.2036108324975
2012-01-01,-1.41271442986882
2012-02-01,-1.69830169830168
2012-03-01,-1.99600798403192
2012-04-01,-2.40480961923846
2012-05-01,-2.09163346613545
2012-06-01,-1.6161616161616
2012-07-01,-2.3
2012-08-01,-1.69830169830168
2012-09-01,-2.52270433905146
2012-10-01,-3.0364372469635694
2012-11-01,-4.036326942482352
2012-12-01,-2.94416243654822
2013-01-01,-2.55885363357216
2013-02-01,-3.04878048780488
2013-03-01,-1.8329938900203695
2013-04-01,-0.821355236139641
2013-05-01,-1.52594099694813
2013-06-01,-0.616016427104742
2013-07-01,-1.74002047082908
2013-08-01,-2.03252032520326
2013-09-01,0.0
2013-10-01,0.313152400835077
2013-11-01,2.41850683491064
2013-12-01,1.67364016736403
2014-01-01,1.78571428571429
2014-02-01,2.30607966457021
2014-03-01,0.622406639004134
2014-04-01,2.07039337474119
2014-05-01,1.03305785123967
2014-06-01,0.516528925619842
2014-07-01,2.18750000000001
2014-08-01,-0.103734439834038
2014-09-01,0.828157349896491
2014-10-01,1.04058272632675
2014-11-01,-0.616016427104742
2014-12-01,1.02880658436214
2015-01-01,0.825593395252837
2015-02-01,2.45901639344263
2015-03-01,3.19587628865979
2015-04-01,1.01419878296146
2015-05-01,2.55623721881391
2015-06-01,3.28879753340187
2015-07-01,2.9561671763506694
2015-08-01,3.63447559709242
2015-09-01,2.97741273100614
2015-10-01,3.5015447991761306
2015-11-01,3.30578512396695
2015-12-01,1.9348268839103695
2016-01-01,5.22006141248721
2016-02-01,0.900000000000001
2016-03-01,0.399600399600427
2016-04-01,2.30923694779118
2016-05-01,0.0997008973080771
2016-06-01,0.895522388059691
2016-07-01,0.297029702970279
2016-08-01,1.50300601202403
2016-09-01,1.19641076769693
2016-10-01,1.79104477611938
2016-11-01,2.8
2016-12-01,2.29770229770231
2017-01-01,-0.778210116731528
2017-02-01,1.68483647175421
2017-03-01,1.8905472636815697
2017-04-01,1.37389597644747
2017-05-01,3.28685258964146
2017-06-01,1.9723865877711897
2017-07-01,3.55380059230012
2017-08-01,4.24481737413624
2017-09-01,3.5467980295566295
2017-10-01,2.83479960899315
2017-11-01,4.96108949416342
2017-12-01,5.46875000000001
2018-01-01,3.72549019607844
2018-02-01,2.33918128654972
2018-03-01,2.73437499999999
2018-04-01,1.74249757986447
2018-05-01,2.7000964320154
2018-06-01,2.6112185686653695
2018-07-01,-0.0953288846520508
2018-08-01,0.757575757575768
2018-09-01,0.285442435775456
2018-10-01,0.475285171102668
2018-11-01,-3.3364226135310706
2018-12-01,-3.14814814814815
2019-01-01,-0.189035916824199
2019-02-01,0.380952380952365
2019-03-01,0.380228136882134
2019-04-01,0.285442435775456
2019-05-01,-0.751173708920177
2019-06-01,-1.69651272384543
2019-07-01,-0.572519083969473
2019-08-01,-1.69172932330827
2019-09-01,-0.948766603415551
2019-10-01,-0.662251655629127
2019-11-01,-0.57526366251195
2019-12-01,-2.7724665391969294
2020-01-01,-1.32575757575757
2020-02-01,-1.51802656546489
2020-03-01,-12.3106060606061
2020-04-01,-28.4629981024668
2020-05-01,-18.8268684957427
2020-06-01,-10.6423777564717
2020-07-01,-5.85412667946257
2020-08-01,-5.640535372848952
2020-09-01,-5.45977011494253
2020-10-01,-3.04761904761907
2020-11-01,0.964320154291216
2020-12-01,2.85152409046214
2021-01-01,1.34357005758157
2021-02-01,0.289017341040466
2021-03-01,13.6069114470842
2021-04-01,41.1140583554377
2021-05-01,22.1445221445222
2021-06-01,10.5150214592275
2021-07-01,8.46075433231398
2021-08-01,5.5724417426545
2021-09-01,5.97771023302938
2021-10-01,2.94695481335955
2021-11-01,0.955109837631319
2021-12-01,4.39770554493307
2022-01-01,1.04166666666666
2022-02-01,2.68972142170991
2022-03-01,1.04562737642585
2022-04-01,-1.1278195488722
2022-05-01,3.14885496183204
2022-06-01,3.7864077669903
2022-07-01,-0.375939849624065
2022-08-01,5.95009596928984
2022-09-01,5.54493307839389
2022-10-01,3.91221374045802
2022-11-01,2.8382213812677306
2022-12-01,-2.3809523809523694
2023-01-01,0.281162136832244
2023-02-01,1.68381665107575
2023-03-01,-2.0696142991533306
2023-04-01,0.0
2023-05-01,-2.59019426456984
2023-06-01,-1.59027128157158
2023-07-01,-2.07547169811321
2023-08-01,-5.43478260869566
2023-09-01,-6.340579710144951
2023-10-01,-5.69329660238752
