date,UKR,counterfactual,gap
2006-01-01,25.815994260555343,2.3454545454545452,23.4705397151008
2006-02-01,22.087221964114438,2.4,19.68722196411444
2006-03-01,18.896171632041717,2.327272727272727,16.56889890476899
2006-04-01,17.26426339395486,2.5818181818181816,14.682445212136678
2006-05-01,17.033655206356112,2.6545454545454548,14.379109751810658
2006-06-01,15.08500472789569,2.5545454545454542,12.530459273350235
2006-07-01,11.644662252905611,2.5454545454545454,9.099207707451066
2006-08-01,9.85655955416036,2.4363636363636365,7.420195917796723
2006-09-01,9.63684643505205,1.9727272727272727,7.664119162324777
2006-10-01,7.285958889661059,1.8090909090909093,5.47686798057015
2006-11-01,6.016302571440235,2.018181818181818,3.998120753258417
2006-12-01,6.121896498304191,2.109090909090909,4.012805589213283
2007-01-01,6.1218964983042135,1.9909090909090912,4.130987407395122
2007-02-01,5.599128535258324,1.9727272727272727,3.6264012625310516
2007-03-01,3.4997422820723267,2.0999999999999996,1.399742282072327
2007-04-01,2.162270463317917,2.090909090909091,0.07136137240882601
2007-05-01,2.0616179801028034,1.9727272727272724,0.08889070737553095
2007-06-01,1.3500329941857905,1.9909090909090907,-0.6408760967233003
2007-07-01,-1.0678604370870204,1.9272727272727272,-2.9951331643597476
2007-08-01,-0.8665742935206167,1.7454545454545454,-2.612028838975162
2007-09-01,-0.8665742935206167,2.090909090909091,-2.9574833844297075
2007-10-01,-1.0640512371590138,2.5090909090909093,-3.573142146249923
2007-11-01,-0.5703588780629709,2.9818181818181815,-3.5521770598811524
2007-12-01,-0.3724889454819968,2.9909090909090907,-3.3633980363910876
2008-01-01,-0.5686060932270864,3.2272727272727266,-3.795878820499813
2008-02-01,-0.0763714699262396,3.3272727272727267,-3.4036441971989664
2008-03-01,2.457189091181045,3.6181818181818177,-1.1609927270007727
2008-04-01,4.314419104918499,3.309090909090909,1.0053281958275897
2008-05-01,3.5942998408805997,3.809090909090909,-0.21479106821030935
2008-06-01,3.906017894564262,4.1,-0.19398210543573757
2008-07-01,5.916419462789024,4.109090909090909,1.807328553698115
2008-08-01,7.421830500838866,3.972727272727273,3.449103228111593
2008-09-01,5.807273930184986,3.8818181818181814,1.9254557483668049
2008-10-01,6.229658257251547,3.3454545454545452,2.8842037117970016
