date,EURO_FACTOR
2006-01-01,0.3153857427613484
2006-02-01,0.3866389401110372
2006-03-01,0.26588882820504933
2006-04-01,0.6562466357897782
2006-05-01,0.7837439765775983
2006-06-01,0.6253475929593646
2006-07-01,0.5864963785072752
2006-08-01,0.4242651591633883
2006-09-01,-0.2883557869389206
2006-10-01,-0.5364442719452358
2006-11-01,-0.20171916536834567
2006-12-01,-0.07369177842414278
2007-01-01,-0.23277182472997576
2007-02-01,-0.2754593324077327
2007-03-01,-0.07858743032277961
2007-04-01,-0.07941969606035106
2007-05-01,-0.2638777220912163
2007-06-01,-0.22508174019806876
2007-07-01,-0.3096731393296273
2007-08-01,-0.5786240291640993
2007-09-01,-0.048069335047674196
2007-10-01,0.5889417323890048
2007-11-01,1.2954747296824378
2007-12-01,1.311987624799411
2008-01-01,1.7184246703090347
2008-02-01,1.833457304724492
2008-03-01,2.2929114014613403
2008-04-01,1.8175383123514148
2008-05-01,2.5717002352318667
2008-06-01,3.0169293159339956
2008-07-01,3.0135812147644896
2008-08-01,2.804330876027749
2008-09-01,2.6717097841843764
2008-10-01,1.875102976878813
2008-11-01,0.36580886446063615
2008-12-01,-0.47708471450141543
2009-01-01,-1.1771377636321882
2009-02-01,-1.2261131341385796
2009-03-01,-2.2595047950086458
2009-04-01,-2.268071770894946
2009-05-01,-3.17651231062618
2009-06-01,-3.525153842331283
2009-07-01,-4.146412350844922
2009-08-01,-3.5138680161364917
2009-09-01,-3.8763479931416716
2009-10-01,-3.6862505643677306
2009-11-01,-2.733859407136358
2009-12-01,-2.1025850319841903
2010-01-01,-2.0662923494861616
2010-02-01,-2.1569173810792392
2010-03-01,-1.134321119295188
2010-04-01,-0.9772381806184883
2010-05-01,-0.8224806555885843
2010-06-01,-0.9945593829630216
2010-07-01,-0.5812862458751391
2010-08-01,-0.7079350286557886
2010-09-01,-0.3571611274175793
2010-10-01,-0.0547757948602015
2010-11-01,-0.19930426553980568
2010-12-01,0.3773531428320222
2011-01-01,0.7236678236648162
2011-02-01,0.9660701018329061
2011-03-01,1.204461683486961
2011-04-01,1.3278924761293749
2011-05-01,1.1538135627383503
2011-06-01,1.0846246113763736
2011-07-01,1.0496276071666562
2011-08-01,0.8560588336577989
2011-09-01,1.413108599252559
2011-10-01,1.4410976443902275
2011-11-01,1.451396279844267
2011-12-01,0.9509510683844176
2012-01-01,0.8592347824289909
2012-02-01,0.8654485210202395
2012-03-01,0.8035628360492727
2012-04-01,0.6451122652566692
2012-05-01,0.42666107609111115
2012-06-01,0.32485454673248887
2012-07-01,0.3808158193897345
2012-08-01,0.7913542901629795
2012-09-01,0.7974248920417253
2012-10-01,0.7026765852458994
2012-11-01,0.22078937513337615
2012-12-01,0.3185005581756495
2013-01-01,-0.32191903693652707
2013-02-01,-0.5313978907984754
2013-03-01,-0.6620365130228699
2013-04-01,-1.288318393501692
2013-05-01,-0.9889061500869236
2013-06-01,-0.7528108488146981
2013-07-01,-0.8220785579470764
2013-08-01,-1.387572191267227
2013-09-01,-1.6941419190050615
2013-10-01,-2.2552223543914374
2013-11-01,-2.1591202364610615
2013-12-01,-1.9449247726832455
2014-01-01,-2.082502661343379
2014-02-01,-2.2281592756223154
2014-03-01,-2.5572773885056885
2014-04-01,-2.2896065349500025
2014-05-01,-2.5755258780198664
2014-06-01,-2.4792802774676312
2014-07-01,-2.6419229497051173
2014-08-01,-2.4964652689158804
2014-09-01,-2.580240356214173
2014-10-01,-2.620345701222697
2014-11-01,-2.697002211194199
2014-12-01,-3.474150547397548
2015-01-01,-4.085117274273003
2015-02-01,-3.7192514671231947
2015-03-01,-3.321078517557469
2015-04-01,-3.107623458792009
2015-05-01,-2.5374048593666974
2015-06-01,-2.554254640693308
2015-07-01,-2.561783489845498
2015-08-01,-2.684942417209877
2015-09-01,-3.0120939953328065
2015-10-01,-2.720973395501641
2015-11-01,-2.850288631825828
2015-12-01,-2.6179334743339377
2016-01-01,-2.530043271186185
2016-02-01,-3.0617966189620534
2016-03-01,-3.0646058837117995
2016-04-01,-3.1512575958920164
2016-05-01,-3.03852111855196
2016-06-01,-2.785301347211169
2016-07-01,-2.69738676398009
2016-08-01,-2.5806975411886666
2016-09-01,-2.4806216540149646
2016-10-01,-2.194035571845971
2016-11-01,-2.256182173636139
2016-12-01,-1.6448086536215074
2017-01-01,-0.7348027400939613
2017-02-01,-0.4133974046537422
2017-03-01,-0.9555684298286808
2017-04-01,-0.43204068689363745
2017-05-01,-1.182123734253484
2017-06-01,-1.5135546292317403
2017-07-01,-1.4064019726249994
2017-08-01,-1.1137116094081805
2017-09-01,-1.0318108171777483
2017-10-01,-1.1841195576478558
2017-11-01,-0.9672490132988596
2017-12-01,-1.2428365432987207
2018-01-01,-1.4144101998485368
2018-02-01,-1.601270011746633
2018-03-01,-1.3869829577056139
2018-04-01,-1.614299760015379
2018-05-01,-0.6340355932418237
2018-06-01,-0.43296169129611795
2018-07-01,-0.1818176931992363
2018-08-01,-0.39138942964058465
2018-09-01,-0.3034346081980251
2018-10-01,-0.12313490457379049
2018-11-01,-0.540121011766462
2018-12-01,-1.071441567557096
2019-01-01,-1.2850189670960634
2019-02-01,-1.0805950047050277
2019-03-01,-1.030384307611412
2019-04-01,-0.6952956972344813
2019-05-01,-1.3825596636521107
2019-06-01,-1.373798860342589
2019-07-01,-1.8394766281745603
2019-08-01,-1.7216076602794939
2019-09-01,-2.0154871208547345
2019-10-01,-2.158947756838174
2019-11-01,-1.8545209725332519
2019-12-01,-1.3090371109556815
2020-01-01,-1.182122987558333
2020-02-01,-1.489756581886386
2020-03-01,-2.1596019691538313
2020-04-01,-2.931885184181314
2020-05-01,-3.2761573297230204
2020-06-01,-2.9685336060361047
2020-07-01,-2.5420286590655947
2020-08-01,-3.5343094827674078
2020-09-01,-3.55769898361515
2020-10-01,-3.539584236742431
2020-11-01,-3.4971358501125764
2020-12-01,-3.491804606256302
2021-01-01,-2.2981631072159203
2021-02-01,-2.274283457634574
2021-03-01,-1.631631622262745
2021-04-01,-1.0704948803541936
2021-05-01,-0.4793077257024397
2021-06-01,-0.60134608914613
2021-07-01,-0.38593996131019065
2021-08-01,0.8693493202999218
2021-09-01,1.3368648823585076
2021-10-01,2.5204743909526193
2021-11-01,3.7628968076205767
2021-12-01,3.9146018618042424
2022-01-01,4.5992010842845215
2022-02-01,5.7512330979669155
2022-03-01,7.9444370170920475
2022-04-01,8.209832948178736
2022-05-01,9.210270060162074
2022-06-01,10.377101193294664
2022-07-01,10.843228284013179
2022-08-01,11.035150124446544
2022-09-01,12.128332178435198
2022-10-01,12.721207529406634
2022-11-01,11.539730246081687
2022-12-01,10.511458807722871
2023-01-01,9.427120101867267
2023-02-01,9.126931059914078
2023-03-01,6.816587068456869
2023-04-01,6.558655619136843
2023-05-01,5.355124010137034
2023-06-01,4.1880069366507575
2023-07-01,3.9025435669989066
2023-08-01,3.8711316271621703
2023-09-01,2.638872135606269
2023-10-01,0.882219433767331
2023-11-01,0.20397723869489287
2023-12-01,0.9077291395126835
2024-01-01,0.8513209474019906
2024-02-01,0.743118016259831
2024-03-01,0.6386522748442579
2024-04-01,0.5319337513185085
2024-05-01,0.8117072520261933
2024-06-01,0.7122951652515128
2024-07-01,0.7437303814684916
2024-08-01,0.15611040886127941
2024-09-01,-0.32060043308769864
2024-10-01,-0.020041242586959426
2024-11-01,0.3398126038886212
2024-12-01,0.5407293695057724
2025-01-01,0.7450058833222676
2025-02-01,0.49380118393545175
2025-03-01,0.2841290931475473
2025-04-01,0.3194801325407486
2025-05-01,-0.075184332157693
2025-06-01,0.14419419204158024
2025-07-01,0.22030891424766988
2025-08-01,0.3037224191036223
2025-09-01,0.4051146879606937
2025-10-01,0.1566213905245553
2025-11-01,0.3347033632134763
2025-12-01,0.15990837267114905
