date,ukr_actual,ea_mean,counterfactual_svar,gap_svar,oil_shock_ukr,supply_shock_ukr,demand_shock_ukr,demand_shock_ea,treatment_weight
2006-07-01,11.644662252905611,2.5454545454545454,11.644662252905611,0.0,0.7082582033497461,1.307442127058958,-0.1001820997408572,-0.5293875663112784,0.25
2006-08-01,9.85655955416036,2.4363636363636365,9.85655955416036,0.0,-0.5339266659742271,0.25826040933032907,0.7476570970204063,-0.25306505492730497,0.25
2006-09-01,9.63684643505205,1.9727272727272727,9.63684643505205,0.0,-1.777850215313623,0.38770749807398647,1.2352132881940456,-0.6695572009361693,0.25
2006-10-01,7.285958889661059,1.8090909090909093,7.285958889661059,0.0,-0.04479356879136242,1.7279676874861585,-0.23564645726527483,0.4705297835318672,0.25
2006-11-01,6.016302571440235,2.018181818181818,6.016302571440235,0.0,0.14999153420325043,0.5272331489233093,0.3978404426265661,1.1545989044012346,0.25
2006-12-01,6.121896498304191,2.109090909090909,6.121896498304191,0.0,0.1341046423873916,-0.26056376207527376,0.5297005937462066,0.39445052977718775,0.25
2007-01-01,6.1218964983042135,1.9909090909090912,5.227813909135392,0.8940825891688213,-1.6911059971224887,0.6809457821843463,0.9117674891768532,0.5404979119248491,0.25
2007-02-01,5.599128535258324,1.9727272727272727,4.427815236412832,1.171313298845492,0.6364028316634684,-0.9443627327087822,-1.2385939098335839,-0.2404721376469216,0.25
2007-03-01,3.4997422820723267,2.0999999999999996,3.1368211950222467,0.3629210870500801,0.24013731495373244,0.46734300371515536,-0.6609730382614263,-0.06549801619972001,0.25
2007-04-01,2.162270463317917,2.090909090909091,1.6380662235428964,0.5242042397750204,0.10187099243063504,-0.20227246335119556,0.024790507144206338,-0.6243867360836052,0.25
2007-05-01,2.0616179801028034,1.9727272727272724,1.7397883815451742,0.32182959855762916,-0.16274514624480818,-0.4369686555761333,-0.007862079524822816,-0.12595233274912052,0.25
2007-06-01,1.3500329941857905,1.9909090909090907,2.166153307256942,-0.8161203130711516,0.8092589696400072,0.3712637806170981,-0.1945394718462365,-0.208467416958581,0.25
2007-07-01,-1.0678604370870204,1.9272727272727272,1.4956804664132397,-2.56354090350026,0.3988444785451672,0.8118405021628234,-1.1579306764744317,-0.8685154990773966,0.25
2007-08-01,-0.8665742935206167,1.7454545454545454,1.6667696120392583,-2.533343905559875,-1.5634301886105724,-0.5533590523094096,0.6519449186084647,0.08313471243238511,0.25
2007-09-01,-0.8665742935206167,2.090909090909091,1.001131380579916,-1.8677056741005327,1.171492619416221,-0.16735128384451417,-0.5492270574216993,1.0064625160694796,0.25
2007-10-01,-1.0640512371590138,2.5090909090909093,0.44869178602246906,-1.512743023181483,0.3864949114376291,0.1890722267840441,-0.3978008468545519,0.8939607541363539,0.25
2007-11-01,-0.5703588780629709,2.9818181818181815,0.6753461082213468,-1.2457049862843177,1.1065809356078535,-0.7861616713123053,-0.4813540530523509,0.43986116606573433,0.25
2007-12-01,-0.3724889454819968,2.9909090909090907,0.558786772736378,-0.9312757182183748,-0.9599959649797688,-0.19676174075902372,-0.2562317363555769,-0.605180677076661,0.25
2008-01-01,-0.5686060932270864,3.2272727272727266,-0.530702404422159,-0.03790368880492745,0.46614331756968486,0.06544603572673775,-0.3460478094015486,0.12679577554019744,0.25
2008-02-01,-0.0763714699262396,3.3272727272727267,-0.3611989098413235,0.2848274399150839,0.30291971658428946,-0.5085381183106401,-0.6354308937554489,-0.7808105366837974,0.25
2008-03-01,2.457189091181045,3.6181818181818177,1.0869838766272368,1.3702052145538082,1.364344973243024,-1.2195874330477605,0.19197169721890617,-0.13865183123872868,0.25
2008-04-01,4.314419104918499,3.309090909090909,1.52707141683777,2.787347688080729,0.35921252975359436,-0.7345540462433482,-0.7973091934931352,-1.572470895952045,0.7
2008-05-01,3.5942998408805997,3.809090909090909,2.2968445270860123,1.2974553137945875,2.094906776171392,0.10285052030956851,-1.374107489787818,0.18206030074703392,0.7
2008-06-01,3.906017894564262,4.1,2.5372187558354202,1.3687991387288418,0.8227743798107054,-1.1905762725029538,-0.6423127189164268,0.14171509282122458,0.7
2008-07-01,5.916419462789024,4.109090909090909,2.9269044496332612,2.989515013155763,0.06057052625913937,-1.2105633349375167,0.25864783275700687,-0.31887319138654174,0.7
2008-08-01,7.421830500838866,3.972727272727273,3.5490610743828177,3.8727694264560486,-2.5808633130175136,0.20372037685031036,-0.059271940985861866,0.7251401180231812,0.7
2008-09-01,5.807273930184986,3.8818181818181814,4.767470592452064,1.0398033377329226,-1.2275834261826848,1.4369464382150574,-1.5817032765261991,0.836533241676782,0.7
2008-10-01,6.229658257251547,3.3454545454545452,5.038961173971472,1.1906970832800745,-3.4778193431981093,-0.10335367303889549,-0.23340761327201404,0.026721353805985264,0.7
2008-11-01,6.86260557556686,2.354545454545455,6.031698361189384,0.8309072143774765,-2.0680260749033064,-0.12304228810482472,-0.9531178222543819,-1.2050681400126593,0.7
2008-12-01,8.13604278202844,1.7909090909090908,7.6226001539364034,0.5134426280920366,-1.3331911690016316,-0.36944644274337984,-0.6275641344585241,0.2538322152110169,0.7
2009-01-01,8.242685822247342,1.3454545454545455,8.41152910313179,-0.1688432808844471,0.5506503264175994,-0.6918121400854245,-1.6080082748757283,-0.4192665562518005,0.7
2009-02-01,8.136042782028397,1.290909090909091,8.685516516241414,-0.5494737342130165,0.23612633134167613,2.691684601859094,2.7963440307353267,1.687426067464906,0.7
2009-03-01,7.387326363161795,0.6181818181818182,8.63382954000846,-1.246503176846665,-0.21525038539646027,0.2535601494136911,-0.7597275920983995,-1.1318769756354075,0.7
2009-04-01,6.643793935325859,0.6090909090909091,8.533127988595256,-1.8893340532693967,1.0161410915214928,0.14382216864128572,-0.39337792490084916,0.4768501267152028,0.7
2009-05-01,6.643793935325837,0.009090909090909078,7.726790337101523,-1.0829964017756861,-0.036137658107005026,-0.49385420316743006,0.04063425985773607,-1.7276416451473604,0.7
2009-06-01,7.390300492873125,-0.22727272727272735,8.00378856730197,-0.6134880744288456,1.1550860755159473,-0.5811993556119485,0.07872114428856934,-1.272022547825834,0.7
2009-07-01,8.033998597725578,-0.6545454545454544,8.530156792194674,-0.49615819446909626,-1.064026575657467,-0.12821203570965697,0.18761025944861012,-0.15078350681394562,0.7
2009-08-01,8.142140738463999,-0.24545454545454543,9.895283558461607,-1.753142819997608,1.9177555101752677,0.04325822035849725,-0.10226904552845267,1.7439341591904114,0.7
2009-09-01,9.902338349669936,-0.4818181818181818,10.580792487342425,-0.6784541376724889,-1.0199202698758818,-0.4908718778663347,0.672144355136137,-0.13249954066493605,0.7
2009-10-01,10.66706635011496,-0.33636363636363636,11.37789099204048,-0.7108246419255213,1.4601487538690947,0.16574194944001644,-0.18005072559668087,0.20531939705953633,0.7
2009-11-01,11.65028806497286,0.29090909090909084,10.737920006692821,0.9123680582800393,0.5337296286643417,-0.08884368797278527,0.06947245042390351,1.7646377228141685,0.7
2009-12-01,11.32158260452638,0.6909090909090909,9.751857049773163,1.5697255547532176,-0.3279904441249054,0.558965021639106,-0.08435064004643207,0.9277663030368116,0.7
2010-01-01,12.308670529098542,0.7090909090909091,10.345974687531523,1.9626958415670188,0.8326393942005675,-0.11712490804515928,0.8480019150893734,-0.4598508270651849,0.4
2010-02-01,12.640944702261605,0.6636363636363636,11.454995892506291,1.1859488097553132,-0.9222613850854853,-1.8197544272425485,-2.1425150413107987,-0.9173827362111685,0.4
2010-03-01,13.314097758251188,1.3636363636363635,12.521556942541512,0.7925408157096765,1.596269893407211,-0.5223329341722992,0.44911828756552863,1.599624593336162,0.4
2010-04-01,14.668449524286054,1.481818181818182,13.954359576063117,0.7140899482229361,0.3233287797364661,-0.7953699887652604,0.314026356902219,-0.5131423787419496,0.4
2010-05-01,14.668449524286077,1.6,15.412991031502774,-0.744541507216697,-0.8785354102337561,0.7334198600845108,0.34040855634924516,0.5835809206983086,0.4
2010-06-01,14.554578174212264,1.4909090909090907,16.154128124337014,-1.59954995012475,0.7846103822509045,0.2590780845215391,0.12446539722574101,-0.5855017097761834,0.4
2010-07-01,14.440819903930048,1.781818181818182,16.81425508903485,-2.3734351851048032,0.07194559376653699,0.20315471791237955,-0.04630216292606075,0.09478771138431218,0.4
2010-08-01,14.784142363641829,1.7090909090909092,16.96156035059513,-2.1774179869532997,0.22912601767411694,0.13587890257480106,0.45010932352264393,-0.5421872489659073,0.4
2010-09-01,14.899041405046852,1.9454545454545453,17.543487496109528,-2.644446091062676,-0.07591466777319797,0.07974334277177812,0.03293084599159292,0.46238917684672703,0.4
2010-10-01,13.87822070154694,2.118181818181818,17.48407132504508,-3.6058506234981387,0.8039670718170709,0.5910871120079793,0.03492711890643468,0.1630903808622748,0.4
2010-11-01,12.429671905930364,2.0090909090909093,16.63021254224337,-4.200540636313006,0.11095605214219761,0.4582947710584778,-0.04039476885764745,-1.1507022472106072,0.4
2010-12-01,11.987035402363787,2.4,16.159173896451506,-4.172138494087719,0.949517673002311,-0.13261125727097653,0.4210189880682434,0.6980653775627422,0.4
2011-01-01,10.346600313461952,2.618181818181818,15.029128149072196,-4.682527835610244,0.5508762534976026,0.6772081594484727,-0.33834266716535116,-0.1523763040994859,0.4
2011-02-01,9.804089987437049,2.7636363636363632,14.477019767342657,-4.672929779905608,0.9955375838245397,-0.5992175016174214,-0.04614667835625601,-0.38211736920094297,0.4
2011-03-01,10.673825353674204,2.909090909090909,14.753493482701316,-4.079668129027112,1.5997119455070508,-0.8202804528670959,0.501387483906397,-0.9433730209070353,0.4
2011-04-01,8.604137674816116,2.9818181818181815,13.164033405277287,-4.559895730461172,0.9282526967866975,1.0399997399988683,-0.6453985705673774,-1.325416692471018,0.4
2011-05-01,7.417796548278877,2.854545454545455,11.511972839889378,-4.094176291610501,-1.2393707918175112,0.4409113423657464,0.6052971331296763,0.09723266871157552,0.4
2011-06-01,7.311019414533093,2.8090909090909095,11.132543146974427,-3.8215237324413343,0.5992934243889347,-0.10554255032444829,0.26383180820532665,-0.2902496267401434,0.4
2011-07-01,6.777664447263976,2.781818181818182,10.175732327385376,-3.3980678801214,0.9172636489875297,0.7015509584870513,-0.17992804401935675,-0.4554461535448113,0.4
2011-08-01,7.416414184735176,2.627272727272727,10.107322084031459,-2.690907899296283,-1.0575023912773553,0.026240983828859078,0.3839158685826016,-0.10736172394463389,0.4
2011-09-01,7.416414184735176,3.027272727272727,10.040971971846941,-2.6245577871117654,0.8422092219807844,0.09431660605122895,-0.24501429045851245,1.5407632588058235,0.4
2011-10-01,9.128229550228962,3.0454545454545454,9.816054856447506,-0.687825306218544,-0.30418344872011926,-0.34830697819168627,1.0670390677999295,0.24765728279352878,0.4
2011-11-01,10.966861762670854,3.0454545454545454,9.882331594483059,1.0845301681877952,0.6353131610953838,-0.34683340043539707,0.2786838744873428,-0.3187137879194693,0.4
2011-12-01,11.624768057706468,2.709090909090909,9.88331613904803,1.7414519186584378,-0.35934964665744235,0.341992548899361,-0.06262962983425409,-1.214629639628013,0.4
2012-01-01,11.624768057706468,2.645454545454545,9.57541569456868,2.049352363137789,0.8202752111983124,0.062033004517319704,-0.26431714616874447,-0.5110937412560255,0.4
2012-02-01,10.852659978255886,2.645454545454545,9.075189393245717,1.7774705850101693,1.3355261685997124,0.13920351296149056,-0.5764269323806744,-0.3693992342760714,0.4
2012-03-01,9.545948858669416,2.6,8.777523668867559,0.7684251898018566,0.792939270677649,0.2235447313684861,-0.4728456895818828,-0.45814923475812,0.4
2012-04-01,10.095326736596522,2.4999999999999996,9.773761798405797,0.3215649381907255,-0.8151164046800596,-0.4608593810066292,0.6194475421749731,0.5834021997869402,0.4
2012-05-01,10.537476643169196,2.3363636363636364,10.638808735875633,-0.1013320927064374,-0.6499430893855547,0.3748779982839265,0.3880393118890666,0.3456434072258315,0.4
2012-06-01,10.647464182117638,2.272727272727273,10.620978698075886,0.02648548404175166,-1.6249464755930627,0.8708271017470389,0.2651498860810778,1.1760700363447802,0.4
2012-07-01,12.968739654469807,2.309090909090909,11.70158005188568,1.2671596025841279,2.1480257105890916,-1.0078871031497887,0.29531380009281333,-0.3332498075416057,0.4
2012-08-01,13.528545103699097,2.581818181818182,11.932481115521657,1.5960639881774394,1.079140948226756,-0.227034455133092,-1.024278294120023,0.08728666771620255,0.4
2012-09-01,14.20971637432129,2.5727272727272728,12.032804725118142,2.1769116492031486,-0.2904878479060825,-0.2858788854605765,0.6060456694507368,0.0510674410547139,0.4
2012-10-01,14.43365699466308,2.5363636363636366,12.393368256755616,2.0402887379074635,0.050280914657452914,-0.3917390561755871,-0.09170478007828108,-0.023969030565153038,0.4
2012-11-01,14.76825833090476,2.2181818181818183,12.718122041728162,2.0501362891765993,0.2419258920600708,0.1660623179894111,0.49508476963328873,-1.067614613136708,0.4
2012-12-01,15.219214159316996,2.2818181818181817,13.18459841348507,2.0346157458319265,0.47720760319864014,-0.1326505904607603,-0.3581058343547238,0.15594930689282768,0.4
2013-01-01,16.589512048228606,1.8636363636363633,15.090432904667685,1.4990791435609214,0.6956224509705857,-0.6903615135083957,0.04416583838231721,-1.570916113293326,0.4
2013-02-01,19.373739201619088,1.736363636363636,17.370475091506467,2.003264110112621,0.604178943274096,-1.3024411616646134,0.4934554207743897,-0.3511482845717987,0.4
2013-03-01,21.865636342010752,1.6363636363636365,19.12979763730498,2.735838704705774,-0.9700966657368153,-0.34208074369783614,0.7406332592069343,1.0370124529130136,0.4
2013-04-01,26.24404243813092,1.2181818181818183,21.640259558535355,4.603782879595563,-0.11616049704527191,-1.1719776215992561,1.4691433580532463,-0.6367802956677692,0.4
2013-05-01,30.157607753712966,1.418181818181818,23.60168051893552,6.555927234777446,0.6373265106029302,-0.836838325118979,0.23872627309580158,1.2274665362280917,0.4
2013-06-01,31.06327699255589,1.5818181818181818,24.22872772684481,6.834549265711079,0.12521189154276133,0.32556309811331924,-0.6521386576372687,0.7360064991231939,0.4
2013-07-01,29.26788963649347,1.518181818181818,23.391901056837224,5.875988579656248,0.6435098607330302,0.17838917928097997,-1.4510150054646334,-0.7223575871527659,0.4
2013-08-01,26.84571024488265,1.136363636363636,22.615462658342892,4.2302475865397575,0.29689515981436143,-0.1849495894835859,-0.8193857257248953,-1.6947959922740403,0.4
2013-09-01,25.963086018526617,0.9272727272727274,22.759330425333978,3.203755593192639,0.3094119007475947,-0.5899470373536972,0.1817664756467699,-0.7707983051003552,0.4
2013-10-01,24.60731894787709,0.5272727272727273,22.870393302185658,1.7369256456914322,-0.05827192047577628,0.2282692843372556,-0.33734578791542696,-1.0548373768525465,0.4
2013-11-01,23.1541723712255,0.5636363636363636,23.437731269372847,-0.2835588981473478,0.2469893949883602,0.2670533921391835,-0.05520376193640732,0.9741802434580074,0.4
2013-12-01,22.31065064265543,0.7363636363636362,23.605166786689797,-1.2945161440343682,0.5899795569334688,-0.37111133538537505,-0.06649175764825156,0.8214298427205424,0.4
2014-01-01,22.31065064265545,0.6454545454545454,23.240810683703625,-0.9301600410481754,-0.44160995533688324,-0.4115646629990185,0.49509387120881126,-0.20957512041700305,0.4
2014-02-01,22.31065064265547,0.5454545454545454,22.10828974668476,0.20236089597070972,0.7137082792339101,0.2943276316835217,0.7302623112203889,-0.3040412369208541,0.7
2014-03-01,20.88150964196227,0.3272727272727272,20.36668508597991,0.5148245559823614,-0.21854743683893535,0.5283345278042185,-0.4244729180121869,-1.2665470692168126,0.7
2014-04-01,18.086561442148085,0.5090909090909091,17.976354529626253,0.11020691252183212,0.33407408249995196,0.5973958652913618,-0.7352042225951374,0.7244517334341832,0.7
2014-05-01,15.566770606331184,0.30909090909090914,16.569750370574997,-1.002979764243813,0.1661322020304736,-0.058693692292867854,-0.571205408929305,-0.9931695261190122,0.7
2014-06-01,14.654101144484557,0.3909090909090908,16.664520528069257,-2.0104193835847006,0.5248346297795684,-0.5176307037517336,0.1696296190639369,-0.06934432987993427,0.7
2014-07-01,14.995333588366954,0.30000000000000004,16.980063315769023,-1.984729727402069,-0.5157034810023501,-0.40871913526542625,0.4757460675666014,0.15671526501179348,0.7
2014-08-01,15.457626386712132,0.40909090909090917,17.044006774655717,-1.586380387943585,-0.15109190075965592,-0.0529328725419569,0.3669397540956148,0.28710620987854024,0.7
2014-09-01,15.342053187125826,0.3272727272727272,15.663394309030013,-0.3213411219041866,-0.3044758671030542,0.10784605104453884,-0.1258613552475404,0.074049029801808,0.7
2014-10-01,14.999791901704086,0.2909090909090909,14.940666507932455,0.059125393771630286,-1.2604065012448198,0.11008418683531504,-0.06293204524924036,0.3381260978279394,0.7
2014-11-01,14.0951721030673,0.2545454545454545,13.745735552631068,0.34943655043623245,-0.7810805213899265,0.1569706682394989,-0.518887962437327,0.21429929121915584,0.7
2014-12-01,13.6455359568483,-0.2818181818181818,13.25440756675199,0.39112839009631095,-2.3098060549584916,0.14305410026494075,-0.012150794247444459,-0.4620203539149501,0.7
2015-01-01,12.309839158139036,-0.6727272727272728,12.633020635591198,-0.3231814774521613,-1.5465265307853975,0.5729324761644908,-0.6232016934409162,0.09986556456486088,0.7
2015-02-01,11.109248068984968,-0.4090909090909091,12.252136555105412,-1.1428884861204445,2.657603880698535,1.3460338608393254,0.6014699298941693,0.5168597666077192,0.7
2015-03-01,11.547117026892328,-0.1545454545454545,12.424196498070707,-0.8770794711783783,-1.4947117310638454,-0.5529684049637522,0.018657368944182896,1.3516646623655673,0.7
2015-04-01,10.997081933071362,-0.00909090909090911,12.064798676230813,-1.0677167431594512,1.0641215144657035,0.20859001137142769,-0.02359592483944338,0.4482099563958892,0.7
2015-05-01,9.676997707901048,0.3818181818181819,11.547333308237882,-1.8703356003368334,0.017387287055557563,0.13905403882294431,-0.23554572365992224,0.7542207034792948,0.7
2015-06-01,8.476552956869332,0.38181818181818183,9.845606953126609,-1.3690539962572768,-0.6493548675764501,0.31779729625951153,0.3383063639873918,-0.8468200150055432,0.7
2015-07-01,6.867108550981049,0.38181818181818183,8.021018013374725,-1.1539094623936759,-0.7052286041265228,0.4253505620338223,-0.3976448436320421,-0.37180898478489416,0.7
2015-08-01,6.760134468347445,0.3181818181818182,8.633047723233346,-1.8729132548859013,-1.121639724980913,0.19687727569265268,0.5778130429210796,0.36147355018390925,0.7
2015-09-01,8.257771625218036,0.09999999999999996,10.436780823423433,-2.1790091982053976,0.7559352552424506,-0.4408298410269211,0.4323393890861213,-1.333753212671543,0.7
2015-10-01,10.51314186741008,0.2999999999999999,12.219035340761081,-1.7058934733510007,-0.008282231864054166,-0.4486729188077637,0.48358993313676774,0.6913201118510577,0.7
